title,时效性,效力位阶,制定机关,发文字号,公布日期,实施日期,原文链接
中共江西省委组织部、江西省人力资源和社会保障厅关于印发《江西省高技能人才队伍建设中长期规划(2010―2020年)》的通知,现行有效,地方工作文件,中共江西省委组织部;江西省人力资源和社会保障厅,,2012.03.20,2012.03.20,https://www.pkulaw.com/lar/f11d1f9f351db0fa77aa819df25555c2bdfb.html
天津市滨海新区人民政府关于印发滨海新区十二五时期综合配套改革试验规划的通知,现行有效,地方工作文件,天津市滨海新区人民政府,,2012.03.27,2012.03.27,https://www.pkulaw.com/lar/81ffb9c25a1ef5c7aad49f1a2e23c430bdfb.html
江苏省人民政府关于贯彻国家侨务工作发展纲要(2011－2015年)的实施意见,废止或失效,地方工作文件,江苏省人民政府,苏政发〔2012〕44号,2012.03.29,2012.03.29,https://www.pkulaw.com/lar/536fa7414d3bf0c43526bb7cf664ecabbdfb.html
深圳市人力资源和社会保障局关于做好我市2012年人才引进工作有关事项的通知,现行有效,地方工作文件,深圳市人力资源和社会保障局,深人社发〔2012〕40号,2012.04.06,2012.04.06,https://www.pkulaw.com/lar/fbc6417a662fe90dfbdd597f06126260bdfb.html
南平市人民政府办公室关于印发南平市公务员局主要职责内设机构和人员编制规定的通知,现行有效,地方工作文件,南平市人民政府,南政办〔2012〕72号,2012.04.18,2012.04.18,https://www.pkulaw.com/lar/9b63c1883b087b64a334f8fbbcb070abbdfb.html
北京市顺义区人民政府关于印发顺义区“十二五”临空经济发展规划的通知,现行有效,地方工作文件,北京市顺义区人民政府,顺政发〔2012〕16号,2012.05.04,2012.05.04,https://www.pkulaw.com/lar/2cf4c5650ea1f013374b8866e9d2f4cdbdfb.html
萍乡市人民政府办公室转发市人力资源和社会保障局关于萍乡市人力资源和社会保障事业发展“十二五”规划的通知,现行有效,地方工作文件,萍乡市人民政府,萍府办发〔2012〕18号,2012.05.18,2012.05.18,https://www.pkulaw.com/lar/f0e9f9727a0afa24411f3115f6203f2dbdfb.html
惠州市人民政府办公室关于推进我市LED产业发展的实施意见,现行有效,地方工作文件,惠州市人民政府,惠府办〔2012〕20号,2012.05.22,2012.05.22,https://www.pkulaw.com/lar/f50f52e79c8c761de5ee2b9e544c852dbdfb.html
吉安市人民政府办公室关于印发吉安市工业和信息化发展“十二五”规划的通知,现行有效,地方工作文件,吉安市人民政府,吉府办发〔2012〕12号,2012.05.23,2012.05.23,https://www.pkulaw.com/lar/4513c37d4d2fe9d879ad064247fa421bbdfb.html
广东省经济和信息化委员会印发广东省会展业发展“十二五”规划的通知,现行有效,地方工作文件,广东省经济和信息化委员会,粤经信生产〔2012〕412号,2012.05.31,2012.05.31,https://www.pkulaw.com/lar/3b2a049054c73cfcd3d9a942f74a44efbdfb.html
成都市人民政府关于印发成都市文化产业发展“十二五”规划的通知,废止或失效,地方工作文件,成都市人民政府,成府发〔2012〕27号,2012.06.01,2012.06.01,https://www.pkulaw.com/lar/4bf5e5b26415b385943e28e831cb1189bdfb.html
黑龙江省人民政府办公厅关于推进建设黑龙江省珠宝玉石产业基地的意见,现行有效,地方工作文件,黑龙江省人民政府,黑政办发〔2012〕41号,2012.06.06,2012.06.06,https://www.pkulaw.com/lar/9871d57035ffc1802bcd5be3d80dcc69bdfb.html
北海市人民政府办公室关于印发北海市“十二五”人才发展规划的通知,现行有效,地方工作文件,北海市人民政府,北政办[2012]203号,2012.06.07,2012.06.07,https://www.pkulaw.com/lar/ba383e7ade4338a26314b08b4da1eff3bdfb.html
杭州市人民政府办公厅关于印发杭州市人力资源和社会保障局主要职责内设机构和人员编制规定的通知,现行有效,地方工作文件,杭州市人民政府,杭政办函〔2012〕173号,2012.06.12,2012.06.12,https://www.pkulaw.com/lar/ee7d7cb30e7ff0cebfab7abdc26456a5bdfb.html
长沙市科学技术局关于开展长沙市境外高层次人才问卷调查工作的通知,现行有效,地方工作文件,长沙市科学技术局,,2012.07.03,2012.07.03,https://www.pkulaw.com/lar/90388ae5b68dc2bda1c3d38e78e07420bdfb.html
唐山市曹妃甸新区管理委员会关于招聘医院、学校工作人员的公告,现行有效,地方工作文件,唐山市曹妃甸新区管理委员会,,2012.07.04,2012.07.04,https://www.pkulaw.com/lar/ad46f353a01821193aa832272ff8b99ebdfb.html
广州市科技和信息化局关于印发广州市电子信息产业十二五发展规划的通知,现行有效,地方工作文件,广州市科技和信息化局,穗科信字〔2012〕205号,2012.07.05,2012.07.05,https://www.pkulaw.com/lar/8ddc6e771c9dd5a59835eeddcf93c8d2bdfb.html
上海市经济和信息化委员会关于印发《上海市钢铁产业“十二五”发展规划》的通知,现行有效,地方工作文件,上海市经济和信息化委员会,沪经信重〔2012〕409号,2012.07.10,2012.07.10,https://www.pkulaw.com/lar/67c07f811592ec934644d6eb0995c680bdfb.html
宁德市人民政府关于贯彻落实国家知识产权战略纲要的实施意见,现行有效,地方工作文件,宁德市人民政府,宁政〔2012〕22号,2012.07.11,2012.07.11,https://www.pkulaw.com/lar/158258e1f8124d2fa232ffba586cc30fbdfb.html
重庆市教育委员会职改办关于开展2012年全市教育系统专业技术资格申报评审工作的通知,现行有效,地方工作文件,重庆市教育委员会,渝教职改〔2012〕46号,2012.07.19,2012.07.19,https://www.pkulaw.com/lar/b7420ba053f51edbd4b93c8edca16c14bdfb.html
重庆市农业委员会关于开展2012年农业畜牧兽医和农机林业水产专业高级技术职务任职资格申报工作的通知,现行有效,地方工作文件,重庆市农业委员会,渝农发〔2012〕242号,2012.07.20,2012.07.20,https://www.pkulaw.com/lar/2e5c6cf83196e569413780a367992ed6bdfb.html
广东省中小企业局关于开展我省小微企业创业环境调研的通知,现行有效,地方工作文件,广东省中小企业局,粤中小企函〔2012〕43号,2012.07.20,2012.07.20,https://www.pkulaw.com/lar/254ba3f84dbc31c8341dc4e7efe4189dbdfb.html
江西省人民政府关于进一步鼓励软件产业和集成电路产业发展的实施意见,现行有效,地方工作文件,江西省人民政府,赣府发〔2012〕31号,2012.07.27,2012.07.27,https://www.pkulaw.com/lar/132541e0312698391d52da6cfae30c20bdfb.html
河南省人民政府办公厅关于印发河南省银行业“十二五”发展规划纲要的通知,现行有效,地方工作文件,河南省人民政府,豫政办〔2012〕103号,2012.08.10,2012.08.10,https://www.pkulaw.com/lar/45a5978f69d4d9c9f53d6229febfa5fdbdfb.html
深圳市人力资源和社会保障局关于组团赴内地招聘2013届毕业生的通知,现行有效,地方工作文件,深圳市人力资源和社会保障局,深人社发〔2012〕150号,2012.08.27,2012.08.27,https://www.pkulaw.com/lar/36c735126ff1cf14f20d0f5c4f681948bdfb.html
重庆市食品药品监督管理局职称改革办公室关于开展2012年全市卫生技术药学专业高、中级职务任职资格评审工作的通知,现行有效,地方工作文件,重庆市食品药品监督管理局,,2012.09.03,2012.09.03,https://www.pkulaw.com/lar/7ce1cfb704593c994cdee4c2a0deaaa3bdfb.html
上海市人民政府关于印发上海市深化改革“十二五”规划的通知,现行有效,地方工作文件,上海市人民政府,沪府发〔2012〕85号,2012.09.06,2012.09.06,https://www.pkulaw.com/lar/fa4a707b8ed5fdc6a49b9671759a8f84bdfb.html
